Identificador,Sexo,Grupo,Grado,Grado_num,Grado_num2,Trabaja,No_trabaja,Ocupacion,Ocupacion_otro,Personas_hogar,Ing_hogar,Municipio,Clave_mun,prob_Contaminacion,prob_Convivencia,prob_Corrupcion,prob_Desarrollo_urbano,prob_Desastres.naturales,prob_Desigualdad,prob_Deuda_publica,prob_Economia,prob_Educacion,prob_Empleo,prob_Imparticion_justicia,prob_Participacion_ciudadana,prob_Pobreza,prob_Salud,prob_Seguridad_publica,prob_Servicios_publicos,prob_Transparencia,prob_Transporte,prob_Vivienda,prob_Ninguno,prob_Otro,Sat_luz,Sat_gas,Sat_agua,Sat_policia,Sat_trans_pub,Sat_estacionamiento,Sat_basura,Sat_internet,Sat_mercados,Informacion,Informacion_otro,Interes_politica,Iden_presidente,Iden_diploc,Iden_dipfed,Voto18,No_voto18,No_voto18_otro,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PP12M_1,PP12M_2,PP12M_3,PP12M_4,PP12M_5,PP12M_6,PP12M_7,Manif_1,Manif_2,Manif_3,Manif_4,SentirPP_1,SentirPP_2,SentirPP_3,SentirPP_4,SentirPP_5,SentirPP_6,Iden_Plebiscito,Iden_Referendum,Iden_Ratificacion_Constitucional,Iden_Iniciativa_Ciudadana,Iden_Ratificacion_Mandato,Iden_Revocacion_Mandato,Iden_Consulta_Popular,Iden_Presupuesto_Participativo,Iden_Comparecencia_Publica,Iden_Proyecto_Social,Iden_Asamblea_Popular,Iden_Ayuntamiento_Abierto,Iden_Colaboracion_Popular,Iden_Planeacion_Participativa,Iden_Dialogo_Colaborativo,Iden_Contraloria_Social,Part_Plebiscito,Part_Referendum,Part_Ratificacion_Constitucional,Part_Iniciativa_Ciudadana,Part_Ratificacion_Mandato,Part_Revocacion_Mandato,Part_Consulta_Popular,Part_Presupuesto_Participativo,Part_Comparecencia_Publica,Part_Proyecto_Social,Part_Asamblea_Popular,Part_Ayuntamiento_Abierto,Part_Colaboracion_Popular,Part_Planeacion_Participativa,Part_Dialogo_Colaborativo,Part_Contraloria_Social,Opinion_cuenta,ID_gob,wf2
12,1,1,5,4,,2,2,,,5,2,El Salto,70,1,,,,,,,,,,,,,1,1,,,,,,,3,3,4,3,3,5,3,3,2,3,,1,1,1,1,1,,,2,2,4,3,4,4,2,2,3,2,1,2,2,1,1,,,3,,2,1,4,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,15,298
13,2,1,5,,,2,2,,,5,2,Guadalajara,39,,1,,,,,,,,,,1,,,1,,,,,,,2,2,2,3,3,3,3,2,4,4,,2,1,1,1,1,,,2,3,2,2,2,1,1,2,2,2,2,1,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,2,16,307
14,1,1,6,2,,2,2,,,4,6,Puerto Vallarta,67,,,1,1,,,,,,,,1,,,,,,,,,,2,2,2,4,3,3,2,3,2,4,,1,1,2,2,1,,,2,2,2,2,3,3,2,3,2,1,2,2,2,2,2,,,,,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,,2,,2,2,,2,17,95
15,1,3,5,4,,2,2,,,3,4,Tlajomulco de Zúñiga,97,,,,,,,,,1,,,,,,1,,,1,,,,2,2,4,4,4,4,2,3,3,1,,1,1,1,2,1,,,2,5,2,2,3,5,2,2,1,2,2,1,1,1,2,,,,,1,2,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,2,1,3,2,2,3,2,2,2,2,2,18,127
16,2,3,5,5,,2,3,,,6,9,Tlajomulco de Zúñiga,97,,,,1,,,,,,,,,,,,,,,,,,2,2,2,3,3,3,2,2,2,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,3,1,1,2,1,2,1,2,,,,,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,3,23,6484
17,1,3,5,4,,2,3,,,3,3,Zapopan,120,,,1,,,,,,,,,,,,1,,,,,,,2,2,2,4,2,4,2,2,3,1,,4,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,535
18,1,3,6,2,,2,3,,,4,5,Zapopan,120,,,,,,,,,,,,1,,,1,,1,,,,,1,2,2,3,2,2,2,2,3,1,,2,1,2,2,1,,,2,2,2,2,2,3,2,2,1,2,2,1,2,1,2,,,,,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,1,28,644
19,1,1,5,3,,1,,1,,2,4,Guadalajara,39,,,,1,,,,,,1,,,,,1,,,,,,,2,2,2,3,3,2,2,3,1,4,,2,1,2,2,1,,,2,2,2,2,3,2,2,3,1,1,2,2,1,1,1,,,3,,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,29,1290
20,2,1,6,2,,2,2,,,3,6,Zapopan,120,,,,,,1,,,,,1,,,,1,,,,,,,2,2,2,3,3,2,2,2,2,4,,2,1,2,2,1,,,2,2,3,2,3,4,2,3,2,2,2,2,2,2,1,,,3,,2,1,2,1,3,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,,3,2,3,2,2,2,,2,,2,,2,,,2,32,75
21,2,1,6,2,,2,2,,,5,6,Guadalajara,39,1,1,,,,,,,,,,,,,1,,,,,,,1,1,1,2,1,1,2,1,1,3,,1,1,1,1,1,,,1,1,2,2,2,3,2,4,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,,2,1,2,1,2,2,2,2,2,,2,33,127
22,2,1,6,1,,1,,5,,2,7,Zapopan,120,,,,,,,,1,,,,,,1,1,,,,,,,3,2,3,3,4,3,4,3,6,3,,2,1,2,3,1,,,2,2,5,2,5,2,1,3,1,2,1,1,2,2,2,,,,,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,3,2,,2,2,2,2,34,497
23,1,1,6,4,,1,,1,,1,2,Guadalajara,39,,,1,,,1,,,,1,,,,,,,,,,,,1,2,3,4,4,5,3,2,2,4,,2,1,2,2,1,,,3,3,3,2,3,4,5,3,1,2,1,1,1,1,1,,,3,,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,35,1328
24,1,1,6,2,,2,2,,,2,7,Zapopan,120,,,,1,,,,,,,,,,,,1,,1,,,,3,2,2,2,4,2,2,3,5,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,4,2,2,2,2,2,2,1,,,3,,2,2,4,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,,,,2,1,2,1,2,,2,,,,,,,1,36,41
25,2,2,5,5,,1,,5,,3,3,Guadalajara,39,,,,,,,,,,1,,,1,,1,,,,,,,2,2,2,3,3,3,2,2,2,3,,2,1,2,2,1,,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,,2,1,,,,,2,2,39,1490
26,1,3,5,5,,2,3,,,3,3,Tlaquepaque,98,,,,,,,,1,,,,,,1,1,,,,,,,2,2,3,2,2,4,2,2,2,2,,2,1,2,1,1,,,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,,,,,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,3,40,535
27,2,2,5,5,,1,,1,,2,6,Zapopan,120,,,,,,,,,,,1,,,1,1,,,,,,,2,2,2,3,3,3,2,2,3,4,,1,1,1,1,1,,,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,,,3,,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,41,732
28,1,1,5,4,,1,,1,,3,5,Tequila,94,,,,1,,1,1,,,,,,,,,,,,,,,2,2,3,4,5,3,3,2,3,1,,1,1,1,1,1,,,2,3,3,2,3,3,3,2,1,2,1,1,1,,2,,,,,2,1,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,,2,46,1312
29,1,2,5,4,,1,,5,,2,3,Guadalajara,39,,,,,,,1,,,1,,,,,1,,,,,,,2,5,3,4,3,1,1,4,1,1,,1,1,1,2,1,,,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,,,3,,1,2,3,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,,2,,1,,,2,,,2,47,1088
30,1,3,6,3,,1,,5,,2,6,Guadalajara,39,1,,,1,,,,,,,,,,,,,,1,,,,2,2,3,2,3,3,2,2,2,3,,2,1,1,1,1,,,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,48,710
31,2,4,5,5,,1,,4,,3,8,Zapopan,120,1,,,,,,,,,,,1,,1,,,,,,,,2,2,2,2,2,2,1,2,5,2,,2,1,2,2,1,,,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,,,,,2,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,2599
