Identificador,Sexo,Grupo,Grado,Grado_num,Grado_num2,Trabaja,No_trabaja,Ocupacion,Ocupacion_otro,Personas_hogar,Ing_hogar,Municipio,Clave_mun,prob_Contaminacion,prob_Convivencia,prob_Corrupcion,prob_Desarrollo_urbano,prob_Desastres.naturales,prob_Desigualdad,prob_Deuda_publica,prob_Economia,prob_Educacion,prob_Empleo,prob_Imparticion_justicia,prob_Participacion_ciudadana,prob_Pobreza,prob_Salud,prob_Seguridad_publica,prob_Servicios_publicos,prob_Transparencia,prob_Transporte,prob_Vivienda,prob_Ninguno,prob_Otro,Sat_luz,Sat_gas,Sat_agua,Sat_policia,Sat_trans_pub,Sat_estacionamiento,Sat_basura,Sat_internet,Sat_mercados,Informacion,Informacion_otro,Interes_politica,Iden_presidente,Iden_diploc,Iden_dipfed,Voto18,No_voto18,No_voto18_otro,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PP12M_1,PP12M_2,PP12M_3,PP12M_4,PP12M_5,PP12M_6,PP12M_7,Manif_1,Manif_2,Manif_3,Manif_4,SentirPP_1,SentirPP_2,SentirPP_3,SentirPP_4,SentirPP_5,SentirPP_6,Iden_Plebiscito,Iden_Referendum,Iden_Ratificacion_Constitucional,Iden_Iniciativa_Ciudadana,Iden_Ratificacion_Mandato,Iden_Revocacion_Mandato,Iden_Consulta_Popular,Iden_Presupuesto_Participativo,Iden_Comparecencia_Publica,Iden_Proyecto_Social,Iden_Asamblea_Popular,Iden_Ayuntamiento_Abierto,Iden_Colaboracion_Popular,Iden_Planeacion_Participativa,Iden_Dialogo_Colaborativo,Iden_Contraloria_Social,Part_Plebiscito,Part_Referendum,Part_Ratificacion_Constitucional,Part_Iniciativa_Ciudadana,Part_Ratificacion_Mandato,Part_Revocacion_Mandato,Part_Consulta_Popular,Part_Presupuesto_Participativo,Part_Comparecencia_Publica,Part_Proyecto_Social,Part_Asamblea_Popular,Part_Ayuntamiento_Abierto,Part_Colaboracion_Popular,Part_Planeacion_Participativa,Part_Dialogo_Colaborativo,Part_Contraloria_Social,Opinion_cuenta,ID_gob,wf2
32,1,3,6,2,,1,,1,,2,5,Bolaños,19,,,,,,,,1,1,,,,1,,,,,,,,,2,2,2,4,4,4,5,2,2,2,,2,1,3,1,1,,,1,3,3,3,4,3,1,4,1,2,1,3,1,1,1,,,3,,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,1,,,,1,2,2,53,988
33,1,3,5,5,,2,2,,,3,6,Guadalajara,39,,,1,,,,,,,,,,,,,,,,,,,2,2,2,4,4,4,2,2,4,3,,2,1,1,1,1,,,5,4,4,4,4,4,2,4,1,1,1,1,2,1,1,,,3,,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,,2,1,1,,1,,,2,2,58,73
34,1,3,6,2,,1,,1,,2,6,Zapopan,120,,,,,,,,,,,,,,,,1,,,,,,2,2,2,4,2,4,2,2,2,2,,2,1,1,2,1,,,2,3,3,2,3,3,2,2,2,2,1,2,2,2,2,,,,,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,710
35,2,1,5,1,,2,5,,,3,2,Zapopan,120,,,,,,1,,,,,,1,,,,1,,,,,,3,1,3,2,4,2,3,2,2,4,,2,1,1,1,1,,,2,2,3,2,4,4,1,3,1,2,1,1,2,2,1,,,3,,2,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2,2,2,2,1,1,2,1,2,2,2,,3,2,2,65,1365
36,1,1,6,3,,1,,4,,4,9,Guadalajara,39,,,,1,,,,,,,,1,,,1,,,,,,,2,2,2,3,4,4,2,2,2,4,,2,1,2,2,1,,,2,2,1,2,2,2,3,5,2,2,2,2,2,2,2,,,,,,,,,,,2,,,,1,1,1,2,1,2,2,2,2,2,2,2,,,,,2,2,2,,2,,,,,,,,2,66,9692
37,2,4,5,4,,2,2,,,2,2,Zapopan,120,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,2,1,2,2,1,,,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,,,,,2,2,3,1,3,1,1,1,1,1,1,1,1,,1,1,1,,1,,,,2,2,2,2,2,2,2,,2,1,2,,2,,,,2,67,135
38,2,3,5,4,,2,6,,,2,2,Zapopan,120,,,1,,,1,,,,,1,,,,,,,,,,,2,1,3,2,2,3,2,3,2,1,,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,5864
39,2,3,5,6,,1,,5,,6,4,Zapopan,120,,,,,,,,1,,,,,,1,1,,,,,,,2,2,2,4,4,3,2,2,2,4,,2,1,2,2,1,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,,,,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,72,4155
40,1,1,5,3,,1,,1,,5,6,Zapopan,120,,,,,,,,,,,1,,,,1,,,1,,,,1,2,2,2,2,3,2,1,2,4,,1,1,2,2,1,,,1,1,1,1,1,1,1,3,2,2,1,2,2,1,1,,,3,,2,1,,1,3,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,,,2,2,2,2,2,1,,,2,2,,2,1,,2,73,1664
41,1,4,5,2,,2,3,,,2,3,San Martín Hidalgo,77,,,,,,,,,,1,,,1,,1,,,,,,,1,1,2,2,3,3,1,2,3,1,,3,1,2,2,1,,,2,2,2,2,2,2,3,1,2,2,2,1,2,2,2,,,,,2,2,3,2,2,3,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,,,,2,2,2,2,2,,2,,2,2,,,1,3,78,404
42,2,4,5,4,,2,4,,,5,2,Guadalajara,39,,,,,,,,,,,,1,,,1,,,,,,,2,2,2,3,2,2,2,2,2,2,,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,18609
43,1,1,5,5,,1,,6,,5,6,Guadalajara,39,,,1,,,1,,,,,,,,,1,,,,,,,2,2,2,4,2,2,2,2,2,4,,1,1,2,2,1,,,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,,2,2,2,,2,80,1664
44,2,3,5,5,,1,,5,,3,5,Guadalajara,39,,,,,,,,1,,1,,,,,1,,,,,,,2,2,2,3,2,3,2,2,2,1,,2,1,2,2,1,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,,,3,,2,2,4,2,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,3,,2,2,2,2,1,82,1352
45,1,4,5,4,,2,2,,,6,4,Puerto Vallarta,67,,,,1,,,,,,,,,,,1,,,1,,,,1,2,1,4,4,5,2,2,5,1,,2,2,2,1,1,,,1,1,2,2,2,2,1,4,2,2,1,1,2,1,1,,,3,,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,,1,2,2,1,,1,,1,,,,,,3,84,290
46,2,2,5,3,,1,,1,,3,4,Villa Guerrero,115,,,,,,,,1,,1,,,,,,,,1,,,,2,2,3,2,3,2,2,3,3,4,,3,1,2,2,1,,,2,2,3,3,3,2,2,3,2,2,2,2,1,2,2,,,,,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,,1,1,1,1,1,87,1767
47,2,2,5,5,,2,2,,,5,4,Guadalajara,39,1,,,,,,,,,1,,,,,,1,,,,,,2,2,2,4,2,4,3,4,3,1,,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,226
48,1,1,5,5,,1,,5,,5,6,Guadalajara,39,,,,,,,1,,,,,,,,1,,,1,,,,2,2,3,4,4,3,3,2,3,2,,1,1,2,2,1,,,,3,4,2,3,4,2,1,1,2,2,1,2,2,2,,,,,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,,,,,,,,,2,90,1664
49,1,1,5,6,,2,2,,,5,3,Zapopan,120,,,,,,1,,,,,,,1,,1,,,,,,,1,1,1,4,3,6,2,2,2,4,,1,1,1,1,1,,,2,4,4,4,4,4,4,4,1,2,1,1,2,1,1,,,3,,1,1,3,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,1,2,1,1,2,1,2,2,2,2,2,2,2,91,186
50,2,1,5,4,,1,,1,,4,3,Zapopan,120,,,1,,,,,1,,,1,,,,,,,,,,,3,1,2,3,2,4,3,2,2,4,,2,1,1,1,1,,,1,2,3,2,3,4,2,1,2,2,1,1,2,2,2,,,,,2,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,92,1980
